الاسم,خط العرض,خط الطول,التصنيف,الوصف,معرف المكان,سعر الدخول (جنيه)
Lord Belmore's tomb,25.7388484,32.6003276,تاريخي,Lord Belmore's tomb is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1616,
حتشبسوت,25.7380644,32.6007485,تاريخي,حتشبسوت is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1617,
Tia'a,25.7384305,32.600255,تاريخي,Tia'a is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1618,
تاي أو أخناطون,25.7404522,32.6019363,تاريخي,تاي أو أخناطون is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1619,
أمنحوتيب الثالث,25.7433103,32.5975883,تاريخي,أمنحوتيب الثالث is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1620,
Tomb of Amunherkhepshef,25.7275719,32.5917486,تاريخي,Tomb of Amunherkhepshef is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1621,
Ay,25.7416003,32.591876,تاريخي,Ay is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1622,
KV44,25.7400945,32.6031301,تاريخي,KV44 is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1624,
Tia'a,25.7383424,32.6007193,تاريخي,Tia'a is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1625,
KV33,25.7381325,32.6008481,تاريخي,KV33 is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1626,
KV45 Userhet,25.7401226,32.6030566,تاريخي,KV45 Userhet is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1627,
Chapel of Osiris Ptah,25.7145152,32.657205,أخرى,"Chapel of Osiris Ptah is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1629,
معبد تحتمس الثالث,25.7379286,32.6059799,أخرى,"معبد تحتمس الثالث is an ancient Egyptian temple site representing the country's rich religious and architectural heritage. These sacred spaces served as centers of worship, ritual, and economic activity in the ancient world.",1634,
معبد حتشبسوت,25.7383391,32.6064411,أخرى,معبد حتشبسوت في الدير البحري أحد أجمل المعابد في مصر، صُمّم حوالي 1479 قبل الميلاد. المعبد ذو الثلاثة مصطبات المنحوت في الصخر يضم نقوشاً ملونة رائعة تصوّر القصة الإلهية لميلاد حتشبسوت ورحلتها التجارية إلى بلاد بونت.,1635,140.0
حرم حتشبسوت وتحتمس الأول,25.7381461,32.606255,تاريخي,حرم حتشبسوت وتحتمس الأول is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1636,
حرم آمون,25.7384314,32.6062236,تاريخي,حرم آمون is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1637,
معبد منتوحتب الثاني,25.7373907,32.6062233,أخرى,"معبد منتوحتب الثاني is an ancient Egyptian temple site representing the country's rich religious and architectural heritage. These sacred spaces served as centers of worship, ritual, and economic activity in the ancient world.",1638,
Scarab of Amenhotep III,25.7174645,32.6584878,ثقافي,"Scarab of Amenhotep III is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",1641,
Obelisk,25.7003041,32.6398186,أخرى,"Obelisk is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1643,
Temple of Shanhūr,25.8611143,32.7767783,أخرى,"Temple of Shanhūr is an ancient Egyptian temple site representing the country's rich religious and architectural heritage. These sacred spaces served as centers of worship, ritual, and economic activity in the ancient world.",1647,
ا ميلاد الأقصر,25.6957109,32.6464831,ثقافي,"ا ميلاد الأقصر is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",1648,
TT52 (Nakht),25.7326738,32.6107375,أخرى,"TT52 (Nakht) is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1650,
ديوان محافظة الأقصر,25.704346,32.6417174,أخرى,"ديوان محافظة الأقصر is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1653,
الإزالة التي لم تتم,25.5130878,32.497877,أخرى,"الإزالة التي لم تتم is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1654,
Temple of Montu (Medamud),25.7342389,32.7101722,أخرى,"Temple of Montu (Medamud) is an ancient Egyptian temple site representing the country's rich religious and architectural heritage. These sacred spaces served as centers of worship, ritual, and economic activity in the ancient world.",1660,
WV24,25.7412769,32.5926485,تاريخي,WV24 is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1661,
WV25,25.7412351,32.5928011,تاريخي,WV25 is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1662,
KV27,25.7398279,32.6030956,تاريخي,KV27 is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1663,
KV39,25.7364111,32.5998351,تاريخي,KV39 is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1664,
KV49,25.7399055,32.6005331,تاريخي,KV49 is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1665,
KV52,25.7399713,32.6004529,تاريخي,KV52 is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1666,
KV63,25.7400839,32.6015094,تاريخي,KV63 is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1667,
KV53,25.7398086,32.6007716,تاريخي,KV53 is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1668,
KV59,25.7387243,32.6007094,تاريخي,KV59 is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1669,
KV64,25.740167,32.601306,تاريخي,KV64 is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1670,
KV65,25.7421008,32.5940929,تاريخي,KV65 is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1671,
KV58,25.7401172,32.6009074,تاريخي,KV58 is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1672,
Mummification Museum,25.7025345,32.6398801,ثقافي,"The Mummification Museum in Luxor is the world's only museum dedicated entirely to the ancient Egyptian art and science of mummification. Located on the Nile Corniche, it displays human and animal mummies alongside the tools and materials used in the mummification process. The museum provides a fascinating scientific and religious perspective on ancient Egyptian beliefs about death and the afterlife.",1681,100.0
N100 Rekhmire,25.7313526,32.607431,تاريخي,N100 Rekhmire is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1682,
TT56 Userhat,25.7305737,32.6086873,تاريخي,TT56 Userhat is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1683,
TT55 Ramose,25.7307612,32.6089461,تاريخي,TT55 Ramose is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1684,
TT41 Amenemipet,25.7325731,32.6107193,تاريخي,TT41 Amenemipet is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1685,
TT52 Nakht,25.7318452,32.6099256,تاريخي,TT52 Nakht is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1686,
TT96 Sennefer,25.7313981,32.6067379,تاريخي,TT96 Sennefer is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1687,
TT57 Khaemhat,25.7304115,32.6087223,تاريخي,TT57 Khaemhat is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1688,
local ferry to West Bank,25.7014436,32.6385794,أخرى,"local ferry to West Bank is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1691,
TT65 Nebamun/Imiseba/Monastery of Cyriacus,25.73294,32.6088898,تاريخي,TT65 Nebamun/Imiseba/Monastery of Cyriacus is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1692,
Nūn Art Gallery,25.7039153,32.6328437,ثقافي,"Nūn Art Gallery is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",1694,
TT359,25.7276225,32.6006389,تاريخي,TT359 is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1695,
Papyrus Museum,25.7274662,32.657683,ثقافي,The Papyrus Museum in Cairo demonstrates the ancient Egyptian technique of making papyrus from the Nile reed plant. Visitors witness live demonstrations of papyrus production and can view a collection of papyrus sheets painted with pharaonic scenes and hieroglyphic inscriptions. The museum offers an authentic educational experience about one of humanity's earliest writing materials.,1696,60.0
Abo Eish Alabaster Factory,25.733132,32.6233157,أخرى,"Abo Eish Alabaster Factory is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1697,
Tomb of Queen Tyti,25.7274103,32.5921441,تاريخي,Tomb of Queen Tyti is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1701,
Art from People to People Foundation,25.7149153,32.6246003,ثقافي,"Art from People to People Foundation is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",1702,
Luxor Museum Entrance & Ticket Office,25.7073653,32.6439556,تاريخي,"The Luxor Museum entrance and ticket office is the gateway to one of Egypt's finest regional collections. The museum presents meticulously curated artifacts from the Theban region, showcasing the exceptional artistry of the New Kingdom period. Visitors purchase tickets here before accessing the main galleries featuring royal statuary and the reconstructed Akhenaten wall.",1703,140.0
T178 Tomb of Neferronpet,25.7323707,32.6120936,أخرى,T178 Tomb of Neferronpet is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1712,
Al Khokha,25.7324654,32.6120624,أخرى,"Al Khokha is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1713,
TT296 Tomb of Nefersekheru,25.7325104,32.6119684,أخرى,TT296 Tomb of Nefersekheru is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1714,
TT295 Tomb of Dhutmosi,25.7325183,32.6118587,أخرى,TT295 Tomb of Dhutmosi is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1715,
جزيرة الموز - Banana Island,25.683452,32.6228723,أخرى,"جزيرة الموز - Banana Island is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1718,
Birket Habu,25.7053045,32.5946069,تاريخي,Birket Habu is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1719,
Moon Valley Apartments,25.7026697,32.6237568,أخرى,"Moon Valley Apartments is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1720,
TT25,25.7333069,32.5999341,تاريخي,TT25 is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1721,
TT51 Userhat,25.7303711,32.610565,أخرى,"TT51 Userhat is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1722,
TT31 Khonsu,25.7304626,32.6105641,أخرى,"TT31 Khonsu is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1723,
Tailleurs de pierres,25.7348314,32.6212779,أخرى,"Tailleurs de pierres is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1724,
Green Oasis Villa,25.7086796,32.6271944,أخرى,"Green Oasis Villa is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1726,
Oasis Guest House,25.7013548,32.6320377,أخرى,"Oasis Guest House is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1727,
Tomb of Kwa Em Waset,25.7267911,32.5922167,تاريخي,Tomb of Kwa Em Waset is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1729,
أمنحتب الثالث,25.7205864,32.6104814,ثقافي,"أمنحتب الثالث is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",1730,
أمنحتب الثالث,25.7203932,32.6103831,ثقافي,"أمنحتب الثالث is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",1731,
Luxor Museum,25.7076634,32.644489,ثقافي,"Luxor Museum is widely considered Egypt's finest provincial museum, presenting a curated selection of exceptional artifacts from the Theban region. The collection spans the Middle Kingdom through the New Kingdom and includes a reconstructed wall from Akhenaten's Karnak temple. Highlights include royal statues, gilded funerary objects, and two royal mummies displayed in a specially designed room.",1733,140.0
Beetle,25.7174878,32.6581508,ثقافي,"Beetle is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",1737,
Column of Taharqa,25.7187615,32.6572987,أخرى,"Column of Taharqa is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1738,
Ramesses II and Daughter,25.718824,32.6574604,ثقافي,"Ramesses II and Daughter is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",1739,
Ramses III,25.7185684,32.6571574,ثقافي,"Ramses III is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",1740,
Ramses III,25.7185446,32.6572105,ثقافي,"Ramses III is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",1741,
TT1 Sennutem,25.7276813,32.6006414,تاريخي,TT1 Sennutem is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1742,
TT218-TT219-TT220,25.7277352,32.60062,تاريخي,TT218-TT219-TT220 is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1743,
Crater de las Ostracas,25.7291491,32.6030896,أخرى,"Crater de las Ostracas is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1744,
F,25.738229,32.6008937,تاريخي,F is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1745,
KV28,25.7399015,32.6031015,تاريخي,KV28 is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1746,
KV50,25.7399538,32.6004698,تاريخي,KV50 is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1747,
Queen Isis-ta-Hemdjeret,25.727315,32.5925209,تاريخي,Queen Isis-ta-Hemdjeret is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1748,
Tomb of Nefertari-Merymut,25.7281459,32.5927058,تاريخي,Tomb of Nefertari-Merymut is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1749,
Dyad Statue of Amun and Mut,25.6997879,32.6392593,ثقافي,"Dyad Statue of Amun and Mut is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",1750,
Dyad Statue of Amun and Mut,25.699835,32.6391879,ثقافي,"Dyad Statue of Amun and Mut is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",1751,
Ramesses II,25.6998907,32.6393421,ثقافي,"Ramesses II is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",1752,
Stele of Seti II,25.7194979,32.655993,تاريخي,"Stele of Seti II is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1753,
socle of the northern obelisk of Seti II,25.7194633,32.6560689,ثقافي,"socle of the northern obelisk of Seti II is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",1754,
Statue of Thutmose III,25.719614,32.6577075,ثقافي,"Statue of Thutmose III is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",1755,
Seated Statue of Thutmose III and Amun,25.7176454,32.6599737,ثقافي,"Seated Statue of Thutmose III and Amun is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",1756,
Statue of Thutmose III,25.7180221,32.6596648,ثقافي,"Statue of Thutmose III is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",1757,
Middle kingdom courtyard,25.7181658,32.6592236,تاريخي,Middle kingdom courtyard is a service facility in Egypt that supports visitors and residents in the area.,1758,
TT3 - Tomb of Pashedu,25.7284926,32.6004259,تاريخي,TT3 - Tomb of Pashedu is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1759,
TT184 Nefermenu,25.7321574,32.6126888,تاريخي,TT184 Nefermenu is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1761,
Palace of Amenhotep 3,25.7153407,32.5911778,تاريخي,Palace of Amenhotep 3 is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1762,
Kemet House,25.7053349,32.6329227,أخرى,"Kemet House is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1763,
Villa Sunrise,25.7020048,32.6332601,أخرى,"Villa Sunrise is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1765,
Lovely Private Villa,25.6979868,32.6294232,أخرى,"Lovely Private Villa is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1766,
Full Moon House,25.7004568,32.6321602,أخرى,"Full Moon House is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1768,
Magic Nile Secret Garden,25.6984145,32.6295035,أخرى,"Magic Nile Secret Garden is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1769,
Luxor Governorate Martyrs Memorial,25.708618,32.6467596,أخرى,"Luxor Governorate Martyrs Memorial is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1772,
Replica of Tut Ankh Amon Tomb,25.7396139,32.6278404,أخرى,Replica of Tut Ankh Amon Tomb is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1774,
Temple of Hatshepsut,25.7372398,32.6086902,تاريخي,"The Mortuary Temple of Hatshepsut at Deir el-Bahari is one of the most beautiful temples in Egypt, designed by the royal architect Senenmut around 1479 BCE. The three-tiered colonnaded structure is carved directly into the Theban cliffs and dedicated to the female pharaoh Hatshepsut. It houses stunning painted reliefs depicting the divine birth of Hatshepsut and her trade expedition to Punt.",1776,140.0
The Devine Birth Chamber,25.7381867,32.6068923,تاريخي,The Devine Birth Chamber is a service facility in Egypt that supports visitors and residents in the area.,1778,
The Complex of the sun cult in the Trmple of Hatshepsut at Deir Al-Bahari,25.738547,32.6066148,تاريخي,The Complex of the sun cult in the Trmple of Hatshepsut at Deir Al-Bahari is a service facility in Egypt that supports visitors and residents in the area.,1782,
Luxor Temple,25.7002041,32.6400203,تاريخي,"Luxor Temple is a magnificent ancient Egyptian temple complex built on the east bank of the Nile around 1400 BCE. Constructed primarily by Amenhotep III and Ramesses II, it was the center of the Opet Festival celebrating the annual renewal of pharaonic power. The temple's 24-meter obelisk at the entrance once stood alongside a twin now located in Paris.",1783,160.0
The expedition to the land of Punt,25.7379993,32.6066177,تاريخي,The expedition to the land of Punt is a service facility in Egypt that supports visitors and residents in the area.,1786,
Temple of Khonsu,25.7162487,32.6556477,تاريخي,"Temple of Khonsu is an ancient Egyptian temple site representing the country's rich religious and architectural heritage. These sacred spaces served as centers of worship, ritual, and economic activity in the ancient world.",1790,160.0
Rekhmire TT100,25.7312628,32.6075902,تاريخي,Rekhmire TT100 is a service facility in Egypt that supports visitors and residents in the area.,1791,
Tomb of Monthemhat (TT 34),25.7360439,32.6113087,تاريخي,Tomb of Monthemhat (TT 34) is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1792,
Tasneem Palace,25.7055812,32.6301692,أخرى,"Tasneem Palace is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1793,
قصر عباس باشا,28.5600636,33.9174195,أخرى,"قصر عباس باشا is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1795,
مركز زوار محمية سانت كاترين,28.5671514,33.9667792,ثقافي,"مركز زوار محمية سانت كاترين is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",1798,
Gebel Nughaymshī,28.7027562,34.3670046,أخرى,"Gebel Nughaymshī is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1799,
Nawami,28.8550093,34.3733603,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1801,
Umm Matamir,28.8419177,34.3577417,أخرى,"Umm Matamir is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1802,
دير القديسة كاترين,28.5556875,33.9765682,ثقافي,"دير القديسة كاترين is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1803,
Abo Jeefa Viewpoint شرفة أبو جيفة,28.5470194,33.9360464,أخرى,"Abo Jeefa Viewpoint شرفة أبو جيفة is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1805,
Nawami,28.8550303,34.3734438,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1807,
Nawami,28.8554832,34.3736904,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1808,
Nawami,28.8550679,34.3733111,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1809,
Nawami,28.8551654,34.3734626,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1810,
Nawami,28.8552863,34.3735095,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1811,
Nawami,28.8550878,34.3734505,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1812,
Nawami,28.8552405,34.3734411,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1813,
Nawami,28.8553422,34.3735294,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1814,
Nawami,28.8552065,34.3735109,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1815,
Nawami,28.855156,34.3731112,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1816,
Nawami,28.8554014,34.3735511,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1817,
Nawami,28.8554167,34.3736571,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1818,
Nawami,28.8553223,34.3730413,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1819,
Nawami,28.8558243,34.373012,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1820,
Nawami,28.8551548,34.3728926,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1821,
Nawami,28.8554402,34.3728725,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1822,
Nawami,28.8553615,34.3743531,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1823,
Nawami,28.8557667,34.3731112,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1824,
Nawami,28.8557503,34.3731756,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1825,
Nawami,28.8556317,34.3737496,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1826,
Nawami,28.8555906,34.3736825,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1827,
Nawami,28.8555048,34.3736383,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1828,
Nawami,28.8555318,34.3736866,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1829,
Nawami,28.855883,34.3739199,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1830,
Nawami,28.8556587,34.3744242,أخرى,"Nawami is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",1831,
